Kalendertext|Datum|Tag|Text für den Chat|Passage 1|Passage 2|Passage 3|Passage 4|Passage 5|Passage 6|Passage 7|Passage 8|Passage 9
2Mo 26 – 27; 2Ko 2                                                                                                                                                ,5 – 3|12.03.18|71||2. Mose 26|2. Mose 27|2. Korinther 2:5-17|2. Korinther 3|||||
2Mo 28 – 29; 2Ko 4|13.03.18|72||2. Mose 28|2. Mose 29|2. Korinther 4||||||
2Mo 30 – 31; 2Ko 5|14.03.18|73||2. Mose 30|2. Mose 31|2. Korinther 5||||||
2Mo 32 – 33; 2Ko 6|15.03.18|74||2. Mose 32|2. Mose 33|2. Korinther 6||||||
2Mo 34; 2Ko 7|16.03.18|75||2. Mose 34|2. Korinther 7|||||||
2Mo 35 – 36|17.03.18|76||2. Mose 35|2. Mose 36|||||||
Ps 19 u. 20|18.03.18|77||Psalm 19|Psalm 20|||||||
Frei|19.03.18|78||||||||||
Frei|20.03.18|79||||||||||
Frei|21.03.18|80||||||||||
Frei|22.03.18|81||||||||||
Frei|23.03.18|82||||||||||
Frei|24.03.18|83||||||||||
Ps 21 u. 22|25.03.18|84||Psalm 21|Psalm 22|||||||
Frei|26.03.18|85||||||||||
Frei|27.03.18|86||||||||||
Frei|28.03.18|87||||||||||
Frei|29.03.18|88||||||||||
Karfreitag|30.03.18|89||||||||||
Frei|31.03.18|90||||||||||
Ps 23 bis 25|01.04.18|91||Psalm 23|Psalm 24|Psalm 25||||||
Ostermontag; Frei|02.04.18|92||||||||||
Frei|03.04.18|93||||||||||
Frei|04.04.18|94||||||||||
Frei|05.04.18|95||||||||||
CVH Einleitungsfragen|06.04.18|96||||||||||
Frei|07.04.18|97||||||||||
Ps 26 u. 27|08.04.18|98||Psalm 26|Psalm 27|||||||
2Mo 37 – 38; 2Ko 8 - 9|09.04.18|99||2. Mose 37|2. Mose 38|2. Korinther 8|2. Korinther 9|||||
2Mo 39 – 40; 2Ko10|10.04.18|100||2. Mose 39|2. Mose 40|2. Korinther 10||||||
Mi 1 – 2; 2Ko 11|11.04.18|101||Micha 1|Micha 2|2. Korinther 11||||||
Mi 3 – 4; 2Ko 12|12.04.18|102||Micha 3|Micha 4|2. Korinther 12||||||
Mi 5 – 7; 2Ko 13|13.04.18|103||Micha 5|Micha 6|Micha 7|2. Korinther 13|||||
1Sa 1 – 2; Apg 1|14.04.18|104||1. Samuel 1|1. Samuel 2|Apostelgeschichte 1||||||
Ps 28 bis 30|15.04.18|105||Psalm 28|Psalm 29|Psalm 30||||||
1Sa 3 – 4; Apg 2|16.04.18|106||1. Samuel 3|1. Samuel 4|Apostelgeschichte 2||||||
1Sa 5 – 6; Apg 3|17.04.18|107||1. Samuel 5|1. Samuel 6|Apostelgeschichte 3||||||
1Sa 7 – 8; Apg 4|18.04.18|108||1. Samuel 7|1. Samuel 8|Apostelgeschichte 4||||||
1Sa 9 – 10 Apg 5|19.04.18|109||1. Samuel 9|1. Samuel 10|Apostelgeschichte 5||||||
1 Sa 11 – 12; Apg 6|20.04.18|110||1. Samuel 11|1. Samuel 12|Apostelgeschichte 6||||||
1Sa 13 ; Apg 7|21.04.18|111||1. Samuel 13|Apostelgeschichte 7|||||||
Ps 31|22.04.18|112||Psalm 31||||||||
1Sa 14 – 15                                                                                                                                                       ,Apg 8|23.04.18|113||1. Samuel 14|1. Samuel 15|Apostelgeschichte 8||||||
1Sa 16; Apg 9|24.04.18|114||1. Samuel 16|Apostelgeschichte 9|||||||
1Sa 17; Apg 10|25.04.18|115||1. Samuel 17|Apostelgeschichte 10|||||||
1Sa 18 – 19; Apg 11|26.04.18|116||1. Samuel 18|1. Samuel 19|Apostelgeschichte 11||||||
1Sa 20-21; Apg 12|27.04.18|117||1. Samuel 20|1. Samuel 21|Apostelgeschichte 12||||||
1Sa 22 – 23; Apg 13|28.04.18|118||1. Samuel 22|1. Samuel 23|Apostelgeschichte 13||||||
Ps 32 u. 33|29.04.18|119||Psalm 32|Psalm 33|||||||
1Sa 24 - 26|30.04.18|120||1. Samuel 24|1. Samuel 25|1. Samuel 26||||||
Tag der Arbeit; 1Sa 27 – 28                                                                                                                                       ,2; Apg 14|01.05.18|121||1. Samuel 27|1. Samuel 28:1-2|Apostelgeschichte 14||||||
1Sa 28                                                                                                                                                            ,3 – 29; Apg 15|02.05.18|122||1. Samuel 28:3-25|1. Samuel 29|Apostelgeschichte 15||||||
1Sa 30 – 31; Apg 16|03.05.18|123||1. Samuel 30|1. Samuel 31|Apostelgeschichte 16||||||
2Sa 1 – 2; Apg 17|04.05.18|124||2. Samuel 1|2. Samuel 2|Apostelgeschichte 17||||||
2Sa 3 – 4; Apg 18|05.05.18|125||2. Samuel 3|2. Samuel 4|Apostelgeschichte 18||||||
Ps 34|06.05.18|126||Psalm 34||||||||
2Sa 5 – 6; Apg 19|07.05.18|127||2. Samuel 5|2. Samuel 6|Apostelgeschichte 19||||||
2Sa 7; Apg 20|08.05.18|128||2. Samuel 7|Apostelgeschichte 20|||||||
2Sa 8 – 10; Apg 21|09.05.18|129||2. Samuel 8|2. Samuel 9|2. Samuel 10|Apostelgeschichte 21|||||
Himmelfahrt; 2Sa 11 – 12;Apg 22|10.05.18|130||2. Samuel 11|2. Samuel 12|Apostelgeschichte 22||||||
